_time_gateway,SNR_PMP_UW_S_1,ICF_SCS_FG_T_2,ICF_TMS_NOX_A,ACT_SNR_PMP_BO_6,ACT_SNR_PMP_BO_0
2025-11-20 15:40:32,17.6812496,1071.84998,0.600000024,,
2025-11-20 15:40:33,17.6812496,1072.33752,0.899999976,,
2025-11-20 15:40:34,17.6812496,1072.33752,0.899999976,,
2025-11-20 15:40:35,17.6812496,1071.84998,0.5625,,22.6812496
2025-11-20 15:40:36,17.6812496,1071.93127,0.699999988,,
2025-11-20 15:40:37,17.6812496,1071.93127,0.699999988,,
2025-11-20 15:40:38,17.6812496,1070.875,0.975000024,,
2025-11-20 15:40:39,17.6812496,1070.875,0.975000024,,
2025-11-20 15:40:40,17.6812496,1069.57495,0.524999976,,22.6812496
2025-11-20 15:40:41,17.6812496,1069.57495,0.524999976,,
2025-11-20 15:40:42,17.6812496,1068.68127,0.962499976,,
2025-11-20 15:40:43,17.6812496,1067.94995,0.649999976,,
2025-11-20 15:40:44,17.6812496,1067.94995,0.649999976,,
2025-11-20 15:40:45,17.6812496,1066.56873,1.01250005,,22.6812496
2025-11-20 15:40:46,17.6812496,1066.32495,0.524999976,,
2025-11-20 15:40:47,17.6812496,1066.32495,0.524999976,,
2025-11-20 15:40:48,17.6812496,1066.40625,0.574999988,,
2025-11-20 15:40:49,17.6812496,1066.40625,0.574999988,,
2025-11-20 15:40:50,17.6812496,1066.32495,0.524999976,,22.6812496
2025-11-20 15:40:51,17.6812496,1066.32495,0.524999976,,
2025-11-20 15:40:52,17.6812496,1064.69995,0.787500024,,
2025-11-20 15:40:53,17.6812496,1061.44995,0.412499994,,
2025-11-20 15:40:54,17.6812496,1062.91248,0.762499988,,
2025-11-20 15:40:55,17.6812496,1062.91248,0.762499988,,22.6812496
2025-11-20 15:40:56,17.6812496,1062.58752,0.75,,
2025-11-20 15:40:57,17.6812496,1062.18127,0.699999988,,
2025-11-20 15:40:58,17.6812496,1062.18127,0.699999988,,
2025-11-20 15:40:59,17.6812496,1060.2312,0.850000024,,
2025-11-20 15:41:00,17.6812496,1060.2312,0.850000024,,22.6812496
2025-11-20 15:41:01,17.6812496,1059.4187,0.850000024,,
2025-11-20 15:41:02,17.6812496,1059.4187,0.850000024,,
2025-11-20 15:41:03,17.6812496,1059.01245,0.699999988,,
2025-11-20 15:41:04,17.6812496,1059.01245,0.699999988,,
2025-11-20 15:41:05,17.6812496,1058.6062,0.550000012,,22.6812496
2025-11-20 15:41:06,17.6812496,1058.6062,0.550000012,,
2025-11-20 15:41:07,17.6812496,1058.28125,0.675000012,,
2025-11-20 15:41:08,17.6812496,1057.9563,0.8125,,
2025-11-20 15:41:09,17.6812496,1057.9563,0.8125,,
2025-11-20 15:41:10,17.6812496,1055.92505,0.662500024,,22.6812496
2025-11-20 15:41:11,17.6812496,1055.92505,0.662500024,,
2025-11-20 15:41:12,17.6812496,1055.3562,0.387499988,,
2025-11-20 15:41:13,17.6812496,1055.3562,0.387499988,,
2025-11-20 15:41:14,17.6812496,1054.38123,0.637499988,,
2025-11-20 15:41:15,17.6812496,1053.97498,0.600000024,,22.6812496
2025-11-20 15:41:17,17.6812496,1053.97498,0.600000024,,
2025-11-20 15:41:18,17.6812496,1054.30005,0.8125,,
2025-11-20 15:41:19,17.6812496,1054.30005,0.8125,,
2025-11-20 15:41:20,17.6812496,1053.0813,0.712499976,,22.6812496
2025-11-20 15:41:21,17.6812496,1053.0813,0.712499976,,
2025-11-20 15:41:22,17.6812496,1053.0813,0.712499976,,
2025-11-20 15:41:23,17.6812496,1053.40625,0.837499976,,
2025-11-20 15:41:24,17.6812496,1053.0813,0.75,,
2025-11-20 15:41:25,17.6812496,1053.0813,0.75,,22.6812496
2025-11-20 15:41:26,17.6812496,1053.40625,0.824999988,,
2025-11-20 15:41:27,17.6812496,1052.43127,0.625,,
2025-11-20 15:41:28,17.6812496,1052.43127,0.625,,
2025-11-20 15:41:29,17.6812496,1053.48755,0.574999988,,
2025-11-20 15:41:30,17.6812496,1053.48755,0.574999988,,22.6812496
2025-11-20 15:41:31,17.6812496,1052.1062,0.6875,,
2025-11-20 15:41:32,17.6812496,1053.40625,0.737500012,,
2025-11-20 15:41:34,17.6812496,1052.2688,18.125,,
2025-11-20 15:41:35,17.6812496,1052.2688,18.125,,22.6812496
2025-11-20 15:41:36,17.6812496,1052.2688,17.8500004,,
2025-11-20 15:41:37,17.6812496,1052.2688,17.8500004,,
2025-11-20 15:41:38,17.6812496,1052.51245,15.9750004,,
2025-11-20 15:41:39,17.6812496,1052.51245,15.9750004,,
2025-11-20 15:41:40,17.6812496,1052.51245,15.5124998,,22.6812496
2025-11-20 15:41:41,17.6812496,1052.51245,15.5124998,,
2025-11-20 15:41:42,17.6812496,1052.1875,19.7124996,,
2025-11-20 15:41:43,17.6812496,1052.1875,19.7124996,,
2025-11-20 15:41:44,17.6812496,1053.40625,20.5,,
2025-11-20 15:41:45,17.6812496,1053.32495,20.6000004,,22.6812496
2025-11-20 15:41:46,17.6812496,1053.32495,20.6000004,,
2025-11-20 15:41:47,17.6812496,1053.24377,52.2874985,,
2025-11-20 15:41:48,17.6812496,1053.65002,56.7000008,,
2025-11-20 15:41:49,17.6812496,1053.65002,56.7000008,,
2025-11-20 15:41:50,17.6812496,1053.7312,56.6500015,,22.6812496
2025-11-20 15:41:51,17.6812496,1053.7312,56.6500015,,
2025-11-20 15:41:52,17.6812496,1054.94995,87.2125015,,
2025-11-20 15:41:53,17.6812496,1054.94995,87.2125015,,
2025-11-20 15:41:54,17.6812496,1055.59998,92.5749969,,
2025-11-20 15:41:55,17.6812496,1055.59998,92.5749969,,22.6812496
2025-11-20 15:41:56,17.6812496,1056.57495,92.5250015,,
2025-11-20 15:41:57,17.6812496,1056.57495,92.5250015,,
2025-11-20 15:41:58,17.6812496,1056.9812,115.387497,,
2025-11-20 15:41:59,17.6812496,1056.9812,115.387497,,
2025-11-20 15:42:00,17.6812496,1057.71252,115.612503,,22.6812496
